iter	Passed	Remaining
413	3564	5045
414	3572	5036
415	3580	5026
416	3588	5016
417	3596	5007
418	3604	4998
419	3612	4988
420	3620	4979
421	3628	4969
422	3636	4960
423	3643	4950
424	3651	4940
425	3659	4930
426	3667	4921
427	3675	4911
428	3683	4902
429	3691	4892
430	3698	4883
431	3707	4874
432	3714	4864
433	3722	4854
434	3730	4845
435	3738	4835
436	3746	4826
437	3754	4817
438	3761	4807
439	3770	4798
440	3777	4788
441	3785	4779
442	3793	4769
443	3801	4760
444	3809	4751
445	3818	4742
446	3826	4734
447	3834	4725
448	3842	4715
449	3850	4706
450	3860	4699
451	3868	4690
452	3877	4681
453	3886	4674
454	3894	4664
455	3903	4656
456	3911	4648
457	3920	4639
458	3928	4630
459	3936	4621
460	3944	4611
461	3952	4603
462	3960	4593
463	3969	4585
464	3976	4575
465	3984	4566
466	3992	4557
467	4000	4547
468	4008	4538
469	4016	4529
470	4024	4519
471	4032	4510
472	4040	4501
473	4048	4492
474	4056	4483
475	4065	4475
476	4072	4465
477	4080	4456
478	4088	4447
479	4097	4438
480	4104	4429
481	4112	4420
482	4120	4410
483	4128	4401
484	4136	4392
485	4144	4383
486	4152	4374
487	4160	4365
488	4169	4356
489	4178	4348
490	4186	4339
491	4195	4331
492	4204	4323
493	4212	4314
494	4220	4306
495	4229	4297
496	4237	4288
497	4245	4279
498	4252	4269
499	4260	4260
500	4268	4251
501	4278	4243
502	4287	4235
503	4295	4227
504	4303	4218
505	4311	4209
506	4320	4201
507	4328	4192
508	4336	4183
509	4346	4175
510	4354	4166
511	4362	4158
512	4371	4149
513	4380	4141
514	4388	4132
515	4397	4124
516	4405	4115
517	4413	4106
518	4422	4098
519	4431	4090
520	4440	4082
521	4449	4074
522	4460	4067
523	4470	4060
524	4479	4052
525	4488	4045
526	4498	4037
527	4506	4028
528	4516	4020
529	4526	4014
530	4535	4006
531	4544	3998
532	4553	3989
533	4561	3980
534	4570	3972
535	4579	3963
536	4587	3955
537	4596	3946
538	4604	3938
539	4612	3929
540	4621	3920
541	4628	3911
542	4637	3902
543	4645	3894
544	4654	3885
545	4662	3876
546	4671	3868
547	4678	3859
548	4687	3850
549	4695	3841
550	4703	3832
551	4711	3823
552	4719	3815
553	4727	3805
554	4735	3797
555	4743	3788
556	4752	3779
557	4760	3770
558	4768	3761
559	4775	3752
560	4783	3743
561	4791	3734
562	4800	3725
563	4808	3716
564	4816	3708
565	4824	3699
566	4832	3690
567	4840	3681
568	4849	3672
569	4857	3664
570	4866	3656
571	4875	3647
572	4884	3639
573	4892	3631
574	4900	3622
575	4909	3614
576	4918	3605
577	4926	3596
578	4934	3588
579	4942	3579
580	4951	3570
581	4959	3562
582	4968	3553
583	4977	3545
584	4985	3536
585	4993	3527
586	5001	3518
587	5009	3510
588	5018	3501
589	5027	3493
590	5035	3484
591	5043	3476
592	5053	3468
593	5063	3461
594	5073	3453
595	5081	3444
596	5090	3436
597	5098	3427
598	5106	3418
599	5115	3410
600	5123	3401
601	5131	3392
602	5139	3383
603	5147	3375
604	5155	3365
605	5164	3357
606	5173	3349
607	5182	3341
608	5191	3333
609	5200	3324
610	5209	3316
611	5217	3307
612	5226	3299
613	5234	3290
614	5242	3281
615	5251	3273
616	5259	3264
617	5268	3256
618	5276	3247
619	5284	3239
620	5292	3230
621	5301	3221
622	5309	3213
623	5318	3204
624	5327	3196
625	5336	3187
626	5345	3179
627	5353	3171
628	5361	3162
629	5370	3153
630	5378	3145
631	5388	3137
632	5397	3129
633	5405	3120
634	5413	3111
635	5422	3103
636	5430	3094
637	5438	3085
638	5446	3077
639	5454	3068
640	5464	3060
641	5472	3051
642	5481	3043
643	5492	3036
644	5502	3028
645	5512	3020
646	5521	3012
647	5531	3004
648	5540	2996
649	5549	2988
650	5559	2980
651	5567	2971
652	5576	2963
653	5585	2955
654	5594	2946
655	5603	2938
656	5612	2929
657	5620	2921
658	5630	2913
659	5638	2904
660	5649	2897
661	5658	2889
662	5667	2880
663	5675	2872
664	5684	2863
665	5694	2855
666	5703	2847
667	5712	2839
668	5722	2831
669	5732	2823
670	5740	2814
671	5749	2806
672	5757	2797
673	5766	2789
674	5774	2780
675	5782	2771
676	5791	2762
677	5799	2754
678	5807	2745
679	5816	2737
680	5824	2728
681	5832	2719
682	5841	2711
683	5849	2702
684	5858	2694
685	5866	2685
686	5876	2677
687	5884	2668
688	5892	2659
689	5900	2651
690	5909	2642
691	5918	2634
692	5926	2625
