iter	Logloss
314	0.3993236675
315	0.3989716212
316	0.3984848846
317	0.3980935536
318	0.3974624189
319	0.3969554065
320	0.3963775968
321	0.3957450333
322	0.3951454748
323	0.394681784
324	0.3938732961
325	0.3933878438
326	0.3925595365
327	0.3919255612
328	0.3915770399
329	0.3911057212
330	0.3903234195
331	0.3897939304
332	0.3892456631
333	0.3883770298
334	0.3881392828
335	0.387213384
336	0.3867329761
337	0.386053621
338	0.3856089875
339	0.3849151254
340	0.3843429171
341	0.3837818955
342	0.3831689687
343	0.3827961768
344	0.3824363939
345	0.3817030874
346	0.3807496504
347	0.3800789358
348	0.3795567519
349	0.3790805971
350	0.3786339061
351	0.3781735629
352	0.3774289306
353	0.3767948772
354	0.3761928108
355	0.3757405381
356	0.3749739294
357	0.3746553683
358	0.3741093896
359	0.3734339703
360	0.3728632926
361	0.3721533476
362	0.3717823686
363	0.3708619568
364	0.3702569943
365	0.3692525222
366	0.3689158384
367	0.3685203056
368	0.3681561906
369	0.3678121563
370	0.3672998216
371	0.3667491708
372	0.3660038636
373	0.3656488385
374	0.3651536538
375	0.3644620575
376	0.3640324326
377	0.3636486792
378	0.363081724
379	0.3624215993
380	0.3621305901
381	0.3615507126
382	0.3610152854
383	0.3608490955
384	0.3599913355
385	0.3593891647
386	0.358725104
387	0.3580375546
388	0.3573490226
389	0.3568680542
390	0.3562919683
391	0.3557563075
392	0.354959006
393	0.3544792353
394	0.3537876899
395	0.3530995622
396	0.3524218739
397	0.3518109474
398	0.3509310114
399	0.3502764915
400	0.3496146023
401	0.3491675174
402	0.3486704329
403	0.34829069
404	0.3478886923
405	0.3475994271
406	0.3468705004
407	0.3463560919
408	0.345707818
409	0.3451978634
410	0.3448873471
411	0.3443452756
412	0.3435313742
413	0.3429001252
414	0.3424061956
415	0.3417310796
416	0.3413679341
417	0.3408552535
418	0.3403820155
419	0.3399328526
420	0.3394594642
421	0.3390236837
422	0.338430605
423	0.3380014027
424	0.3377039991
425	0.3372642306
426	0.3367820728
427	0.336007382
428	0.3355161332
429	0.3352633317
430	0.3347632957
431	0.3342676886
432	0.3338876586
433	0.333367583
434	0.3329707692
435	0.3324862204
436	0.3321378844
437	0.3315754811
438	0.3310864421
439	0.3303790102
440	0.3301967185
441	0.3297138898
442	0.3289068635
443	0.328426189
444	0.3276602742
445	0.3271521064
446	0.3266773238
447	0.3261407886
448	0.3257363089
449	0.325094426
450	0.3245640585
451	0.3238040488
452	0.3233447065
453	0.3228062174
454	0.3222594426
455	0.3214623906
456	0.3208060642
457	0.3201823807
458	0.319597218
459	0.3190049412
460	0.3182815621
461	0.3180847559
462	0.3173965907
463	0.3166336611
464	0.316313969
465	0.3158039364
466	0.3153223218
467	0.3147879891
468	0.3143839084
469	0.3138567786
470	0.3134194943
471	0.3129597006
472	0.3124391895
473	0.3120784739
474	0.3117106101
475	0.3112452359
476	0.3104518682
477	0.3097479471
478	0.3090937483
479	0.3086385697
480	0.3081745616
481	0.3078898101
482	0.3071752988
483	0.3068880921
484	0.3060410322
485	0.3057351527
486	0.3052029544
487	0.3047668958
488	0.3043011278
489	0.3036840147
490	0.3033218257
491	0.3028193128
492	0.3021536828
493	0.3016384945
494	0.3011505081
495	0.3002739825
496	0.2995026528
497	0.2990471633
498	0.2986278033
499	0.2981328559
500	0.2975833339
501	0.2972141795
502	0.2963956809
503	0.2959240555
504	0.2955522524
505	0.2949939708
506	0.2942606967
507	0.2935838706
508	0.2930066023
509	0.2926698687
510	0.2922668428
511	0.2915735679
512	0.2910409089
513	0.2902966833
514	0.2895536421
515	0.2889476319
516	0.2880584689
517	0.2875195015
518	0.2871260425
519	0.2864133043
520	0.2857068161
521	0.2852334371
522	0.2844866406
523	0.2839860079
524	0.2836831604
525	0.2830380648
526	0.2825568024
527	0.2820738279
528	0.2816741802
529	0.2810117345
530	0.2806177448
531	0.2799264396
532	0.2792783982
533	0.2787168731
534	0.2781396945
535	0.2775502582
536	0.2768407022
537	0.2764387712
538	0.275743971
539	0.2753570015
540	0.2748475051
541	0.2740271267
542	0.2732389002
543	0.2726272986
544	0.2719119277
545	0.2712335756
546	0.2709838791
547	0.2702123334
548	0.2694068579
549	0.2689342928
550	0.2683449133
551	0.2679096416
552	0.2674928666
553	0.2669230756
554	0.266074849
555	0.2656523537
556	0.2652510438
557	0.2649307841
558	0.2644440801
559	0.263934301
560	0.2637049877
561	0.2630613961
562	0.2624573047
563	0.261812637
564	0.2613609048
565	0.2606744104
566	0.2599564475
567	0.2595851947
568	0.2593193242
569	0.2589954928
570	0.2583674225
571	0.2579160431
572	0.2575263038
573	0.2568641182
574	0.2565529871
575	0.2562304744
576	0.2556625037
577	0.2551172191
578	0.2547387158
579	0.254170021
580	0.253692428
581	0.2530115641
582	0.2526021869
583	0.2522095649
584	0.2516858301
585	0.2510471361
586	0.250638013
587	0.2500904576
588	0.2495528995
589	0.2489147608
590	0.2485426381
591	0.2478962347
592	0.2472709352
593	0.2467203838
594	0.2461386079
595	0.2456522358
596	0.2452158283
597	0.2448409994
598	0.2444482044
599	0.2439750006
600	0.243280713
601	0.2429112903
602	0.2423316063
603	0.2417891708
604	0.2412324209
605	0.2408223206
606	0.2404603711
607	0.2401696395
608	0.2398686973
609	0.239457075
610	0.2388308641
611	0.238382864
612	0.2377195946
613	0.2373282099
614	0.2370910864
615	0.2362549227
616	0.2356626093
617	0.2355135778
618	0.2348300394
619	0.2342864856
620	0.2336596561
621	0.2329797659
622	0.2323980283
623	0.2319420361
624	0.2313427982
625	0.230966663
626	0.2303573152
627	0.2299110229
628	0.2292812382
629	0.2286420328
630	0.2281477984
631	0.2274469044
632	0.2271836268
633	0.2266531952
634	0.2263235668
635	0.2257611837
636	0.22527261
637	0.2249562806
638	0.2247008273
639	0.2243911015
640	0.2238694181
641	0.2235497877
642	0.2231048525
643	0.2224839254
644	0.2220164201
645	0.2214415415
646	0.2209811362
647	0.2203643655
648	0.2200108838
649	0.2196414776
650	0.2193469687
651	0.2188226471
652	0.2182430826
653	0.2177711752
654	0.2173132908
655	0.2167539735
656	0.216420951
657	0.2162418049
658	0.2156474593
659	0.2153322388
660	0.2147235359
661	0.2139927751
662	0.2136036337
663	0.2129448934
664	0.212398528
665	0.2119394193
666	0.2113504142
667	0.2110121041
668	0.2105752563
669	0.2100690398
670	0.2095495923
671	0.2088490858
672	0.2084123136
673	0.2079003224
674	0.2074193673
675	0.2069961755
676	0.2066670913
677	0.2063272889
678	0.2057494187
679	0.2053382118
680	0.2051099817
681	0.2048667652
682	0.2043350936
683	0.2038438603
684	0.2034586261
685	0.2031276845
686	0.2027084983
687	0.2023252384
688	0.2018626111
689	0.2013556676
690	0.2009268599
691	0.2005512209
692	0.2000349598
693	0.199788457
694	0.1991274606
695	0.1986876085
696	0.1983816377
697	0.1979055903
698	0.1975888886
699	0.1971847036
700	0.1966204235
701	0.1963452668
702	0.1960993749
703	0.1955479551
704	0.1950118451
705	0.1946161259
706	0.1941841899
707	0.1937485222
708	0.1932640633
709	0.1928084907
710	0.1925771142
711	0.1923719471
712	0.1919835864
713	0.1915667601
714	0.1911409954
715	0.1905846783
716	0.1901596435
717	0.1897236847
718	0.1893711945
719	0.1890491297
720	0.188551929
721	0.1882301907
722	0.1878251993
723	0.1874422055
724	0.1871360157
725	0.1866328047
726	0.1862423151
727	0.1858971828
728	0.1855282858
729	0.1850957474
730	0.1847869319
731	0.1842396624
732	0.1837359404
733	0.18343516
734	0.1831983608
735	0.1828507587
736	0.182279166
737	0.1817994587
738	0.1814991506
739	0.1812885527
740	0.1809841776
741	0.1806555637
742	0.1802247769
743	0.1800091699
744	0.1794856563
745	0.179138604
746	0.1786854534
747	0.1783251134
748	0.1778966519
749	0.1776381961
750	0.1772441461
751	0.1769150443
752	0.1765952924
753	0.1762733531
754	0.1758615464
755	0.1752938714
756	0.1749660183
757	0.1747493615
758	0.1745398871
759	0.1741898938
760	0.1738193632
761	0.1734818461
762	0.1732782208
763	0.1729266342
764	0.1724748036
765	0.1720696031
766	0.171952705
767	0.1715928276
768	0.1712004895
769	0.1708496763
770	0.1704509741
771	0.1702403633
772	0.1699696115
773	0.1696768726
774	0.1692953816
775	0.1689450446
776	0.1686253615
777	0.1681389702
778	0.1677172271
779	0.1673901338
780	0.1669766992
781	0.1666262321
782	0.1662740949
783	0.1659613242
784	0.1657044986
785	0.165365836
786	0.1651470178
787	0.1648144175
788	0.1645432351
789	0.1642885283
790	0.1640001555
791	0.1637104561
792	0.1633941844
793	0.1629798575
794	0.1626344077
795	0.1622864494
796	0.1619477511
797	0.1616091948
798	0.1611012964
799	0.1609032087
800	0.160424603
801	0.1600435173
802	0.1598699688
803	0.1595293334
804	0.1590794475
805	0.1587054499
806	0.1583773757
807	0.158084401
808	0.1576971178
809	0.1573647585
810	0.1569743778
811	0.1567368826
812	0.1563828767
813	0.1560500924
814	0.1558700976
815	0.1555114873
816	0.1551335103
817	0.1548008695
818	0.1544691296
819	0.1541356889
820	0.1539654381
821	0.15364363
822	0.1533168258
823	0.1530766123
824	0.1528623687
825	0.1525492985
826	0.15227901
827	0.1520365825
828	0.1517659934
829	0.151504384
830	0.1510193647
831	0.1507684877
832	0.1503585143
833	0.1500903628
834	0.1497581957
835	0.1495722924
836	0.1491744782
837	0.1487024227
838	0.1482920983
839	0.1479878143
840	0.1476715911
841	0.1474262129
842	0.1472319531
843	0.1469116508
844	0.1466953092
845	0.1464477471
846	0.146215306
847	0.1457825147
848	0.1454837408
849	0.1452411362
850	0.1449872651
851	0.1446931574
852	0.1444684389
853	0.1441442616
854	0.143937895
855	0.1437473835
856	0.1433225962
857	0.1429577542
858	0.1425963983
859	0.1423486521
860	0.1420820665
861	0.1417732866
862	0.1414292006
863	0.1410533734
864	0.1408819961
865	0.1406278747
866	0.1404047061
867	0.1401533981
868	0.1398271086
869	0.1395202308
870	0.13921878
871	0.1389204999
872	0.138666195
873	0.1382785076
874	0.1379852341
875	0.137621815
876	0.1373142465
877	0.1370643422
878	0.1367989455
879	0.136529206
880	0.1362582273
881	0.1360208108
882	0.1357136906
883	0.1354774565
884	0.1352245068
885	0.1349603362
886	0.1348175634
887	0.1345599194
888	0.1342061312
889	0.1340276148
890	0.1337128547
891	0.1333748086
892	0.1330935305
893	0.1328154166
894	0.1326963217
895	0.1324470245
896	0.1322903755
897	0.1320139393
898	0.1317214477
899	0.131502261
900	0.1313089133
901	0.1310652225
902	0.1309104976
903	0.1307159253
904	0.1304404883
905	0.1302427451
906	0.1300714031
907	0.1298036866
908	0.1295445252
909	0.1292513369
910	0.1289961891
911	0.1288331564
912	0.1286036312
913	0.1283794559
914	0.1281304353
915	0.1279283681
916	0.1277744844
917	0.1274594126
918	0.1272007536
919	0.1269784451
920	0.1268095533
921	0.1266109786
922	0.126413854
923	0.1261215804
924	0.125803436
925	0.125597549
926	0.1253697413
927	0.1251993422
928	0.1249082779
929	0.1247325005
930	0.1244540248
931	0.1243297211
932	0.1240293587
933	0.1239009727
934	0.1237097221
935	0.1234415262
936	0.123217362
937	0.1230306341
938	0.122824005
939	0.122642239
940	0.1225087739
941	0.1222303112
942	0.121995051
943	0.1217426034
944	0.1214861921
945	0.1212693838
946	0.120945042
947	0.1207450543
948	0.1206683788
949	0.1204667815
950	0.1203489208
951	0.1200116729
952	0.1198321688
953	0.1196067386
954	0.1193814232
955	0.1191216305
956	0.1189325946
957	0.1186846972
958	0.1184778398
959	0.1182032112
960	0.1179986167
961	0.117830863
962	0.1176299195
963	0.1174649234
964	0.1171841749
965	0.1170429234
966	0.1167978433
967	0.1165230587
968	0.1162699043
969	0.1161110718
970	0.1159864369
971	0.1158209947
972	0.1155308483
973	0.115388383
974	0.115151303
975	0.1149306167
976	0.1146776669
977	0.1145438388
978	0.1143694691
979	0.1140874513
980	0.1138467574
981	0.1136278608
982	0.1134545913
983	0.113162357
984	0.1129738085
985	0.1128055313
986	0.1125840422
987	0.1123688387
988	0.1121190117
989	0.1119989226
990	0.111810261
991	0.1115381848
992	0.1113249935
993	0.1111295697
994	0.1109166897
995	0.1106834387
996	0.110494662
997	0.1103478991
998	0.1101982575
999	0.1100591617
