,col_name,feature_importance_vals
243,kurtosis_10,0.7881309071399757
126,CORREL30,0.7873598186589778
138,LINEARREG_ANGLE2400,0.7700753966449059
122,BETA2400,0.768545115088747
140,LINEARREG_ANGLE9600,0.7480392422658116
68,MOM2400,0.7436871118972385
183,HT_DCPERIOD,0.7387568306824877
233,volatility_10,0.7265734724712449
6,ADX960,0.7102740777889344
13,ADXR960,0.7074091156425045
115,NATR4800,0.6941328074142571
244,kurtosis_5,0.671017883466273
148,LINEARREG_SLOPE9600,0.6487238903638164
131,CORREL4800,0.6444963604912257
132,CORREL9600,0.6398785743487446
163,AROON_9600_aroondown,0.5994130778198713
231,volatility_30,0.5854055748122731
21,AROONOSC4800,0.582183462034227
241,kurtosis_30,0.5728187219267896
19,AROONOSC960,0.5660058044943063
130,CORREL2400,0.5657236938849672
77,ROC4800,0.5590588593089159
35,CMO960,0.556287225843371
164,AROON_9600_aroonup,0.5507882350873924
102,ATR30,0.5315189425615686
22,AROONOSC9600,0.5253342825507814
104,ATR480,0.5238456330270156
107,ATR4800,0.5196057029767285
245,roll_measure,0.4803512777358895
242,kurtosis_15,0.47614817447264507
90,TRIX480,0.4596676504090857
58,MINUS_DM480,0.4586926171008767
9,ADXR5,0.45644035298700897
36,CMO2400,0.4559804681210361
2,ADX5,0.4441196395038934
67,MOM960,0.4398955744893604
255,close_vix,0.4229911040716766
159,AROON_2400_aroondown,0.4094185703882003
54,MFI9600,0.4085657556921381
217,fastk_3600,0.3914775611789953
109,NATR5,0.3906598513890811
105,ATR960,0.38609646606843095
128,CORREL480,0.38008927574417317
106,ATR2400,0.3799874517032372
103,ATR60,0.3682179397090637
43,DX960,0.301287355785282
49,MFI60,0.288822567982874
59,MINUS_DM960,0.26361580075557983
4,ADX60,0.2557276156466205
250,hasbrouck_lambda,0.0
248,kyle_lambda,0.0
3,ADX30,0.0
246,corwin_schultz_est,0.0
240,kurtosis_60,0.0
10,ADXR30,0.0
8,ADX4800,0.0
249,amihud_lambda,0.0
256,volume_vix,0.0
5,ADX480,0.0
60,MINUS_DM2400,0.0
11,ADXR60,0.0
232,volatility_15,0.0
162,AROON_4800_aroonup,0.0
161,AROON_4800_aroondown,0.0
158,AROON_960_aroonup,0.0
127,CORREL60,0.0
185,HT_TRENDMODE,0.0
192,APO_2,0.0
114,NATR2400,0.0
101,ATR5,0.0
209,quadrature,0.0
61,MINUS_DM4800,0.0
53,MFI4800,0.0
51,MFI960,0.0
50,MFI480,0.0
46,DX9600,0.0
45,DX4800,0.0
44,DX2400,0.0
230,volatility_60,0.0
257,chow_segment,0.0
