,col_name,feature_importance_vals
79,RSI5,113.81695409969672
63,MOM5,104.45182127916726
71,ROC5,101.0525566761953
133,LINEARREG_ANGLE5,98.26125097601751
213,fastk_20,98.05222188028984
229,momentum4,96.13643240448754
31,CMO5,92.57400506508263
227,momentum2,88.16840200942534
175,STOCHRSI_2400_fastk,77.79544050842563
141,LINEARREG_SLOPE5,71.38127685222696
87,TRIX5,67.55551516800047
179,STOCHRSI_9600_fastk,64.87024880054999
228,momentum3,55.69872812220471
94,WILLR30,54.92859532330243
226,momentum1,54.38792408324784
177,STOCHRSI_4800_fastk,53.43596119694453
167,STOCHRSI_30_fastk,52.4592237286175
171,STOCHRSI_480_fastk,51.44453688752023
198,MACDHIST,47.490478996565656
251,tick_rule,45.810992590203874
173,STOCHRSI_960_fastk,45.27991302032495
80,RSI30,44.3310924552343
72,ROC30,43.88475451634905
93,WILLR5,40.58916484392347
169,STOCHRSI_60_fastk,40.476153624824356
188,SAREXT,38.19262715849917
15,AROONOSC5,37.03267540681647
32,CMO30,37.020162274329415
33,CMO60,31.605742509847534
64,MOM30,30.90340955597024
165,STOCHRSI_5_fastk,29.869315844258807
196,MACD,27.960578886536897
81,RSI60,27.728814649265537
95,WILLR60,27.616718887163476
201,MACDHIST_24,24.74751738705443
23,BOP5,23.630208491879515
25,BOP60,22.91210342176633
27,BOP960,22.827446256870726
24,BOP30,21.179072705823828
204,MACDHIST_48,20.160397705947112
29,BOP4800,19.313584854632204
152,AROON_30_aroonup,19.216234234468104
30,BOP9600,18.79273752833615
182,OBV,18.281517792503735
28,BOP2400,17.89138495440142
190,APO,17.887779934774013
26,BOP480,15.895344206134302
55,MINUS_DM5,15.30828001509942
197,MACDSIGNAL,15.162197078760789
142,LINEARREG_SLOPE30,14.043435878894815
149,AROON_5_aroondown,12.147220600294292
16,AROONOSC30,11.929833863865909
0,close,11.88683402808032
194,APO_4,11.62547352147047
184,HT_DCPHASE,11.290854792058111
65,MOM60,10.99674523027425
211,leadsine,9.966293136999306
91,TRIX960,9.561114434111175
186,TRANGE,8.984412916936716
178,STOCHRSI_4800_fastd,8.29931144394846
151,AROON_30_aroondown,8.165752887710745
48,MFI30,8.095290829815752
134,LINEARREG_ANGLE30,8.013328295698768
144,LINEARREG_SLOPE480,7.968330701129337
206,MACDSIGNAL_200,7.931070441695528
117,BETA5,7.928878618223659
89,TRIX60,7.464389882577541
214,fastd_20,7.36779758986248
223,high_low,7.277708184864693
56,MINUS_DM30,6.886956005480204
153,AROON_60_aroondown,6.877375654238224
13,ADXR960,6.820623371273021
118,BETA30,6.6581824254124005
203,MACDSIGNAL_48,6.089582882526954
73,ROC60,6.022626922611032
245,roll_measure,5.873392836639171
