,col_name,feature_importance_vals
100,WILLR9600,1.2491532706414128
217,fastk_3600,1.2452603826711346
111,NATR60,1.220168636583686
158,AROON_960_aroonup,1.199809231131275
97,WILLR960,1.198942814433421
232,volatility_15,1.1877054551939943
35,CMO960,1.1804088854429093
157,AROON_960_aroondown,1.176692774644808
161,AROON_4800_aroondown,1.1680004939694184
20,AROONOSC2400,1.1647134581320928
46,DX9600,1.1605359516410998
114,NATR2400,1.1529022216814557
50,MFI480,1.129715909604508
128,CORREL480,1.0959724431918243
36,CMO2400,1.0752660395208051
109,NATR5,1.0739439983059809
132,CORREL9600,1.063144672352779
78,ROC9600,1.0598429888322023
10,ADXR30,1.0590155316015304
238,skew_10,1.0284533158091091
212,fastd,0.9888454473214354
103,ATR60,0.988281394854148
233,volatility_10,0.9793997608718078
159,AROON_2400_aroondown,0.9622996324388161
137,LINEARREG_ANGLE960,0.9538232008238477
85,RSI4800,0.9492815536971482
234,volatility_5,0.9477942950305496
110,NATR30,0.8953936591648379
75,ROC960,0.8899884103273202
84,RSI2400,0.8851911170381036
44,DX2400,0.8819438420958353
62,MINUS_DM9600,0.8713287510022463
243,kurtosis_10,0.862146730495658
101,ATR5,0.8441540646670236
9,ADXR5,0.8344480499858484
105,ATR960,0.753303978809941
2,ADX5,0.6926643044000751
163,AROON_9600_aroondown,0.6828084142202918
131,CORREL4800,0.6792363993201951
34,CMO480,0.6731014246540623
231,volatility_30,0.6689084668072518
192,APO_2,0.6373422677177478
88,TRIX30,0.624949023309049
21,AROONOSC4800,0.5926842871724527
51,MFI960,0.589875447094199
140,LINEARREG_ANGLE9600,0.577593523073727
19,AROONOSC960,0.5675513733960147
74,ROC480,0.54228983329944
166,STOCHRSI_5_fastd,0.5315017127605521
59,MINUS_DM960,0.5243420793111844
185,HT_TRENDMODE,0.5212854555579888
148,LINEARREG_SLOPE9600,0.4876401374839373
52,MFI2400,0.4703165200273036
96,WILLR480,0.40287338308916176
183,HT_DCPERIOD,0.40271617816161026
43,DX960,0.40243320774422314
240,kurtosis_60,0.3978616932016213
22,AROONOSC9600,0.39112496372262895
4,ADX60,0.3801202465475399
106,ATR2400,0.3490794439449425
83,RSI960,0.3375503489887476
162,AROON_4800_aroonup,0.3314729509094455
248,kyle_lambda,0.28145979854060293
54,MFI9600,0.22812580651466802
45,DX4800,0.15177974734589073
53,MFI4800,0.15007587977841164
246,corwin_schultz_est,0.0
249,amihud_lambda,0.0
250,hasbrouck_lambda,0.0
66,MOM480,0.0
11,ADXR60,0.0
42,DX480,0.0
218,fastd_3600,0.0
209,quadrature,0.0
82,RSI480,0.0
121,BETA960,0.0
252,chow_segment,0.0
